District Name,District Code,Salary Totals,Average Salary,FTE Count
Abby Kelley Foster Charter Public (District),4450000,"$7,586,419 ",66422.00,114.2
Abington,10000,"$12,181,431 ",92005.00,132.4
Academy Of the Pacific Rim Charter Public (District),4120000,"$3,503,450 ",67505.00,51.9
Acton-Boxborough,6000000,"$36,991,103 ",91268.00,405.3
Acushnet,30000,"$5,221,793 ",76566.00,68.2
Advanced Math and Science Academy Charter (District),4300000,"$5,323,822 ",72386.00,73.6
Agawam,50000,"$26,272,816 ",85887.00,305.9
Alma del Mar Charter School (District),4090000,"$4,016,617 ",63754.00,63
Amesbury,70000,"$13,799,456 ",86626.00,159.3
Amherst,80000,"$9,694,674 ",83719.00,115.8
Amherst-Pelham,6050000,"$9,704,310 ",84020.00,115.5
Andover,90000,"$45,752,152 ",94627.00,483.5
Argosy Collegiate Charter School (District),35090000,"$2,541,092 ",65775.00,38.6
Arlington,100000,"$38,878,430 ",83466.00,465.8
Ashburnham-Westminster,6100000,"$12,000,752 ",74493.00,161.1
Ashland,140000,"$17,508,149 ",84499.00,207.2
Assabet Valley Regional Vocational Technical,8010000,"$10,036,319 ",92929.00,108
Athol-Royalston,6150000,"$7,818,289 ",67691.00,115.5
Atlantis Charter (District),4910000,"$4,893,011 ",49544.00,98.8
Attleboro,160000,"$34,799,179 ",89550.00,388.6
Auburn,170000,"$14,367,883 ",80268.00,179
Avon,180000,"$5,523,528 ",86036.00,64.2
Ayer Shirley School District,6160000,"$10,119,963 ",72701.00,139.2
Barnstable,200000,"$34,915,501 ",85472.00,408.5
Baystate Academy Charter Public School (District),35020000,"$2,656,998 ",50570.00,52.5
Bedford,230000,"$24,270,763 ",102581.00,236.6
Belchertown,240000,"$12,701,375 ",75874.00,167.4
Bellingham,250000,"$13,991,946 ",85213.00,164.2
Belmont,260000,"$28,236,336 ",101061.00,279.4
Benjamin Banneker Charter Public (District),4200000,"$1,859,184 ",93113.00,20
Benjamin Franklin Classical Charter Public (District),4470000,"$4,010,915 ",72946.00,55
Berkley,270000,"$5,021,511 ",77612.00,64.7
Berkshire Arts and Technology Charter Public (District),4140000,"$2,021,770 ",53645.00,37.7
Berkshire Hills,6180000,"$9,271,561 ",83528.00,111
Berlin-Boylston,6200000,"$6,987,556 ",77040.00,90.7
Beverly,300000,"$28,710,045 ",84765.00,338.7
Billerica,310000,"$35,220,392 ",96126.00,366.4
Blackstone Valley Regional Vocational Technical,8050000,"$8,911,769 ",84520.00,105.4
Blackstone-Millville,6220000,"$8,907,761 ",82251.00,108.3
Blue Hills Regional Vocational Technical,8060000,"$7,939,694 ",96122.00,82.6
Boston,350000,"$481,668,763 ",104813.00,"4,595.50"
Boston Collegiate Charter (District),4490000,"$5,591,786 ",80772.00,69.2
Boston Day and Evening Academy Charter (District),4240000,"$3,037,648 ",116644.00,26
Boston Green Academy Horace Mann Charter School (District),4110000,"$4,020,150 ",92939.00,43.3
Boston Preparatory Charter Public (District),4160000,"$4,468,443 ",76320.00,58.6
Boston Renaissance Charter Public (District),4810000,"$6,350,118 ",76505.00,83
Bourne,360000,"$13,186,684 ",94325.00,139.8
Boxford,380000,"$5,328,238 ",81847.00,65.1
Braintree,400000,"$39,172,634 ",90218.00,434.2
Brewster,410000,"$3,837,468 ",81648.00,47
Bridge Boston Charter School (District),4170000,"$2,733,609 ",65087.00,42
Bridgewater-Raynham,6250000,"$30,730,475 ",92617.00,331.8
Brimfield,430000,"$2,226,401 ",89414.00,24.9
Bristol County Agricultural,9100000,"$2,679,245 ",76115.00,35.2
Bristol-Plymouth Regional Vocational Technical,8100000,"$10,058,370 ",94783.00,106.1
Brockton,440000,"$101,375,149 ",102794.00,986.2
Brooke Charter School (District),4280000,"$13,919,417 ",77671.00,179.2
Brookfield,450000,"$1,608,613 ",72788.00,22.1
Brookline,460000,"$68,241,445 ",101158.00,674.6
Burlington,480000,"$31,257,450 ",99104.00,315.4
Cambridge,490000,"$74,361,751 ",96662.00,769.3
Canton,500000,"$22,903,929 ",93030.00,246.2
Cape Cod Lighthouse Charter (District),4320000,"$1,794,564 ",99637.00,18
Cape Cod Regional Vocational Technical,8150000,"$5,443,194 ",92887.00,58.6
Carlisle,510000,"$6,362,005 ",110836.00,57.4
Carver,520000,"$9,448,539 ",73358.00,128.8
Central Berkshire,6350000,"$9,232,004 ",80278.00,115
Chelmsford,560000,"$31,266,382 ",82957.00,376.9
Chelsea,570000,"$33,421,047 ",80108.00,417.2
Chesterfield-Goshen,6320000,"$1,035,995 ",79692.00,13
Chicopee,610000,"$48,888,835 ",83343.00,586.6
Christa McAuliffe Charter Public (District),4180000,"$2,666,545 ",67851.00,39.3
City on a Hill Charter Public School Circuit Street (District),4370000,"$1,306,386 ",60864.00,21.5
Clarksburg,630000,"$1,118,821 ",77696.00,14.4
Clinton,640000,"$11,143,613 ",74489.00,149.6
Codman Academy Charter Public (District),4380000,"$2,393,871 ",50789.00,47.1
Cohasset,650000,"$10,840,801 ",90946.00,119.2
Collegiate Charter School of Lowell (District),35030000,"$2,670,642 ",56158.00,47.6
Community Charter School of Cambridge (District),4360000,"$2,545,502 ",84551.00,30.1
Community Day Charter Public School - Gateway (District),4260000,"$2,340,196 ",57084.00,41
Community Day Charter Public School - Prospect (District),4400000,"$2,387,439 ",55555.00,43
Community Day Charter Public School - R. Kingman Webster (District),4310000,"$2,184,295 ",52639.00,41.5
Concord,670000,"$18,533,618 ",108511.00,170.8
Concord-Carlisle,6400000,"$11,843,143 ",117960.00,100.4
Conservatory Lab Charter (District),4390000,"$2,724,254 ",97295.00,28
Conway,680000,"$1,074,780 ",78451.00,13.7
Danvers,710000,"$23,334,558 ",92451.00,252.4
Dartmouth,720000,"$22,738,042 ",84371.00,269.5
Dedham,730000,"$22,261,536 ",96958.00,229.6
Deerfield,740000,"$2,258,958 ",61053.00,37
Dennis-Yarmouth,6450000,"$23,886,410 ",88109.00,271.1
Dighton-Rehoboth,6500000,"$17,483,056 ",82157.00,212.8
Douglas,770000,"$6,982,527 ",71763.00,97.3
Dover,780000,"$3,842,940 ",98285.00,39.1
Dover-Sherborn,6550000,"$11,010,867 ",104766.00,105.1
Dracut,790000,"$17,000,491 ",73058.00,232.7
Dudley Street Neighborhood Charter School (District),4070000,"$1,900,746 ",92719.00,20.5
Dudley-Charlton Reg,6580000,"$21,797,738 ",80494.00,270.8
Duxbury,820000,"$19,575,744 ",88859.00,220.3
East Bridgewater,830000,"$11,843,019 ",77557.00,152.7
East Longmeadow,870000,"$15,845,779 ",76921.00,206
Eastham,850000,"$2,090,644 ",92506.00,22.6
Easthampton,860000,"$8,437,505 ",72926.00,115.7
Easton,880000,"$21,415,739 ",86598.00,247.3
Edgartown,890000,"$4,205,476 ",96456.00,43.6
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,"$3,634,474 ",106039.00,34.3
Erving,910000,"$1,493,243 ",86816.00,17.2
Essex North Shore Agricultural and Technical School District,8170000,"$11,713,395 ",89211.00,131.3
Everett,930000,"$49,560,097 ",88232.00,561.7
Excel Academy Charter (District),4100000,"$7,602,812 ",67158.00,113.2
Fairhaven,940000,"$10,722,028 ",82541.00,129.9
Fall River,950000,"$57,040,698 ",74117.00,769.6
Falmouth,960000,"$25,901,892 ",88493.00,292.7
Farmington River Reg,6620000,"$721,474 ",56365.00,12.8
Fitchburg,970000,"$30,084,051 ",80611.00,373.2
Florida,980000,"$509,459 ",47172.00,10.8
Four Rivers Charter Public (District),4130000,"$1,425,900 ",71581.00,19.9
Foxborough,990000,"$18,691,446 ",93364.00,200.2
Foxborough Regional Charter (District),4460000,"$8,115,043 ",63227.00,128.4
Framingham,1000000,"$68,345,350 ",93215.00,733.2
Francis W. Parker Charter Essential (District),4780000,"$2,577,758 ",55541.00,46.4
Franklin,1010000,"$32,424,432 ",83418.00,388.7
Franklin County Regional Vocational Technical,8180000,"$4,524,338 ",84409.00,53.6
Freetown-Lakeville,6650000,"$15,504,327 ",77990.00,198.8
Frontier,6700000,"$3,792,559 ",72102.00,52.6
Gardner,1030000,"$12,596,458 ",70926.00,177.6
Gateway,6720000,"$5,080,055 ",67554.00,75.2
Georgetown,1050000,"$8,187,399 ",79955.00,102.4
Gill-Montague,6740000,"$5,887,919 ",73507.00,80.1
Global Learning Charter Public (District),4960000,"$2,633,771 ",61509.00,42.8
Gloucester,1070000,"$23,092,752 ",86360.00,267.4
Grafton,1100000,"$19,752,120 ",78413.00,251.9
Granby,1110000,"$3,697,213 ",58967.00,62.7
Greater Fall River Regional Vocational Technical,8210000,"$13,040,284 ",100156.00,130.2
Greater Lawrence Regional Vocational Technical,8230000,"$14,036,382 ",90557.00,155
Greater Lowell Regional Vocational Technical,8280000,"$17,585,474 ",89676.00,196.1
Greater New Bedford Regional Vocational Technical,8250000,"$16,061,624 ",93545.00,171.7
Greenfield,1140000,"$8,324,786 ",59209.00,140.6
Groton-Dunstable,6730000,"$16,150,068 ",84511.00,191.1
Hadley,1170000,"$3,389,879 ",77043.00,44
Halifax,1180000,"$3,405,790 ",94605.00,36
Hamilton-Wenham,6750000,"$12,497,743 ",92031.00,135.8
Hampden Charter School of Science East (District),4990000,"$2,532,188 ",56858.00,44.5
Hampden Charter School of Science West (District),35160000,"$1,559,405 ",47259.00,33
Hampden-Wilbraham,6800000,"$17,506,595 ",78965.00,221.7
Hampshire,6830000,"$5,380,021 ",74105.00,72.6
Hancock,1210000,"$500,535 ",67640.00,7.4
Hanover,1220000,"$17,699,719 ",89078.00,198.7
Harvard,1250000,"$7,934,789 ",86248.00,92
Hatfield,1270000,"$2,866,831 ",71137.00,40.3
Haverhill,1280000,"$45,861,438 ",77182.00,594.2
Hawlemont,6850000,"$789,649 ",76665.00,10.3
Helen Y. Davis Leadership Academy Charter Public (District),4190000,"$1,421,711 ",86164.00,16.5
Hill View Montessori Charter Public (District),4550000,"$1,528,087 ",63670.00,24
Hilltown Cooperative Charter Public (District),4500000,"$1,352,913 ",67815.00,20
Hingham,1310000,"$29,708,811 ",99261.00,299.3
Holbrook,1330000,"$7,261,155 ",75090.00,96.7
Holland,1350000,"$1,339,221 ",74817.00,17.9
Holliston,1360000,"$18,184,066 ",87172.00,208.6
Holyoke,1370000,"$29,659,366 ",72819.00,407.3
Holyoke Community Charter (District),4530000,"$2,805,869 ",66020.00,42.5
Hoosac Valley Regional,6030000,"$6,452,828 ",70600.00,91.4
Hopedale,1380000,"$6,737,149 ",72755.00,92.6
Hopkinton,1390000,"$27,052,621 ",97102.00,278.6
Hudson,1410000,"$19,647,503 ",84324.00,233
Hull,1420000,"$7,040,981 ",88566.00,79.5
Innovation Academy Charter (District),4350000,"$4,184,702 ",66797.00,62.7
Ipswich,1440000,"$12,891,496 ",83657.00,154.1
KIPP Academy Boston Charter School (District),4630000,"$2,946,563 ",67731.00,43.5
KIPP Academy Lynn Charter (District),4290000,"$6,913,386 ",64648.00,106.9
King Philip,6900000,"$11,275,963 ",84845.00,132.9
Kingston,1450000,"$5,649,670 ",88276.00,64
Lawrence,1490000,"$83,801,771 ",74603.00,"1,123.30"
Lawrence Family Development Charter (District),4540000,"$3,818,832 ",66997.00,57
Learning First Charter Public School (District),4860000,"$3,174,778 ",84661.00,37.5
Lee,1500000,"$5,322,081 ",72409.00,73.5
Leicester,1510000,"$8,015,806 ",79443.00,100.9
Lenox,1520000,"$6,632,432 ",84597.00,78.4
Leominster,1530000,"$31,293,361 ",82721.00,378.3
Leverett,1540000,"$1,077,106 ",72289.00,14.9
Lexington,1550000,"$58,730,499 ",94513.00,621.4
Libertas Academy Charter School (District),35140000,"$1,690,450 ",65022.00,26
Lincoln,1570000,"$11,723,269 ",92894.00,126.2
Lincoln-Sudbury,6950000,"$14,287,204 ",113571.00,125.8
Littleton,1580000,"$9,530,581 ",81250.00,117.3
Longmeadow,1590000,"$19,402,811 ",78586.00,246.9
Lowell,1600000,"$88,396,989 ",80950.00,"1,092.00"
Lowell Community Charter Public (District),4560000,"$4,320,537 ",66783.00,64.7
Lowell Middlesex Academy Charter (District),4580000,"$743,579 ",106165.00,7
Ludlow,1610000,"$16,262,564 ",73954.00,219.9
Lunenburg,1620000,"$9,246,816 ",85067.00,108.7
Lynn,1630000,"$94,658,722 ",82162.00,"1,152.10"
Lynnfield,1640000,"$15,309,449 ",96529.00,158.6
MATCH Charter Public School (District),4690000,"$7,785,711 ",68902.00,113
Malden,1650000,"$39,473,864 ",83366.00,473.5
Manchester Essex Regional,6980000,"$11,474,261 ",88536.00,129.6
Mansfield,1670000,"$27,020,092 ",91284.00,296
Map Academy Charter School (District),35170000,"$1,116,387 ",55261.00,20.2
Marblehead,1680000,"$21,656,505 ",84365.00,256.7
Marblehead Community Charter Public (District),4640000,"$1,330,079 ",64100.00,20.8
Marion,1690000,"$2,895,013 ",88533.00,32.7
Marlborough,1700000,"$33,937,674 ",85680.00,396.1
Marshfield,1710000,"$26,840,672 ",80506.00,333.4
Martha's Vineyard,7000000,"$7,733,332 ",103664.00,74.6
Martha's Vineyard Charter (District),4660000,"$1,462,002 ",81267.00,18
Martin Luther King Jr. Charter School of Excellence (District),4920000,"$2,359,126 ",59141.00,39.9
Masconomet,7050000,"$13,818,934 ",107457.00,128.6
Mashpee,1720000,"$11,369,915 ",79343.00,143.3
Mattapoisett,1730000,"$3,503,383 ",92682.00,37.8
Maynard,1740000,"$9,364,721 ",87603.00,106.9
Medfield,1750000,"$19,913,677 ",99271.00,200.6
Medford,1760000,"$33,842,913 ",88179.00,383.8
Medway,1770000,"$12,990,816 ",76733.00,169.3
Melrose,1780000,"$21,314,707 ",76369.00,279.1
Mendon-Upton,7100000,"$13,294,373 ",84948.00,156.5
Methuen,1810000,"$39,006,024 ",79604.00,490
Middleborough,1820000,"$17,710,437 ",77882.00,227.4
Middleton,1840000,"$5,409,677 ",79789.00,67.8
Milford,1850000,"$29,485,735 ",87210.00,338.1
Millbury,1860000,"$10,957,406 ",81528.00,134.4
Millis,1870000,"$8,727,556 ",89148.00,97.9
Milton,1890000,"$27,826,821 ",87644.00,317.5
Minuteman Regional Vocational Technical,8300000,"$7,958,064 ",100101.00,79.5
Mohawk Trail,7170000,"$5,210,099 ",75073.00,69.4
Monomoy Regional School District,7120000,"$14,013,595 ",83663.00,167.5
Monson,1910000,"$5,547,699 ",69607.00,79.7
Montachusett Regional Vocational Technical,8320000,"$9,936,423 ",92004.00,108
Mount Greylock,7150000,"$8,555,584 ",76663.00,111.6
Mystic Valley Regional Charter (District),4700000,"$6,990,499 ",73823.00,94.7
Nahant,1960000,"$752,143 ",65977.00,11.4
Nantucket,1970000,"$14,557,960 ",94348.00,154.3
Narragansett,7200000,"$6,690,677 ",67651.00,98.9
Nashoba,7250000,"$22,447,099 ",84578.00,265.4
Nashoba Valley Regional Vocational Technical,8520000,"$5,556,160 ",86545.00,64.2
Natick,1980000,"$36,870,305 ",84410.00,436.8
Nauset,6600000,"$12,554,967 ",94540.00,132.8
Needham,1990000,"$41,460,599 ",98388.00,421.4
Neighborhood House Charter (District),4440000,"$5,185,760 ",67447.00,76.9
New Bedford,2010000,"$77,632,757 ",78322.00,991.2
New Heights Charter School of Brockton (District),35130000,"$3,250,143 ",69787.00,46.6
New Salem-Wendell,7280000,"$958,964 ",76717.00,12.5
Newburyport,2040000,"$17,075,239 ",89540.00,190.7
Newton,2070000,"$101,497,172 ",93031.00,"1,091.00"
Norfolk,2080000,"$7,276,225 ",90726.00,80.2
Norfolk County Agricultural,9150000,"$4,637,936 ",82673.00,56.1
North Adams,2090000,"$8,213,202 ",67598.00,121.5
North Andover,2110000,"$26,858,406 ",83256.00,322.6
North Attleborough,2120000,"$24,304,325 ",83320.00,291.7
North Brookfield,2150000,"$3,563,556 ",86494.00,41.2
North Middlesex,7350000,"$18,889,999 ",77865.00,242.6
North Reading,2170000,"$17,743,087 ",84051.00,211.1
Northampton,2100000,"$16,543,204 ",70607.00,234.3
Northampton-Smith Vocational Agricultural,4060000,"$4,038,543 ",70852.00,57
Northboro-Southboro,7300000,"$10,613,652 ",93677.00,113.3
Northborough,2130000,"$13,441,155 ",97400.00,138
Northbridge,2140000,"$12,543,486 ",76766.00,163.4
Northeast Metropolitan Regional Vocational Technical,8530000,"$10,805,252 ",92908.00,116.3
Northern Berkshire Regional Vocational Technical,8510000,"$4,414,776 ",87421.00,50.5
Norton,2180000,"$15,880,113 ",85931.00,184.8
Norwell,2190000,"$14,816,124 ",92140.00,160.8
Norwood,2200000,"$25,521,233 ",85184.00,299.6
Oak Bluffs,2210000,"$4,346,288 ",92671.00,46.9
Old Colony Regional Vocational Technical,8550000,"$4,800,838 ",80014.00,60
Old Rochester,7400000,"$7,839,175 ",86525.00,90.6
Old Sturbridge Academy Charter Public School (District),35150000,"$1,239,022 ",61951.00,20
Orange,2230000,"$2,942,448 ",73931.00,39.8
Orleans,2240000,"$2,173,179 ",90549.00,24
Oxford,2260000,"$8,657,526 ",74441.00,116.3
Palmer,2270000,"$8,072,413 ",72724.00,111
Pathfinder Regional Vocational Technical,8600000,"$5,304,109 ",77432.00,68.5
Paulo Freire Social Justice Charter School (District),35010000,"$1,324,192 ",60801.00,21.8
Peabody,2290000,"$39,624,748 ",92538.00,428.2
Pelham,2300000,"$781,357 ",64046.00,12.2
Pembroke,2310000,"$15,547,592 ",83589.00,186
Pentucket,7450000,"$14,664,542 ",80930.00,181.2
Petersham,2340000,"$642,495 ",49423.00,13
Phoenix Academy Public Charter High School Lawrence (District),35180000,"$665,424 ",66542.00,10
Phoenix Academy Public Charter High School Springfield (District),35080000,"$859,423 ",113082.00,7.6
Phoenix Charter Academy (District),4930000,"$777,736 ",62229.00,12.5
Pioneer Charter School of Science (District),4940000,"$4,317,577 ",59718.00,72.3
Pioneer Charter School of Science II (PCSS-II) (District),35060000,"$1,999,623 ",56727.00,35.3
Pioneer Valley,7500000,"$4,107,098 ",67774.00,60.6
Pioneer Valley Chinese Immersion Charter (District),4970000,"$3,882,372 ",55744.00,69.7
Pioneer Valley Performing Arts Charter Public (District),4790000,"$2,191,940 ",53671.00,40.8
Pittsfield,2360000,"$32,608,948 ",67083.00,486.1
Plainville,2380000,"$3,675,171 ",83149.00,44.2
Plymouth,2390000,"$49,018,424 ",77353.00,633.7
Plympton,2400000,"$1,555,936 ",80618.00,19.3
Prospect Hill Academy Charter (District),4870000,"$7,656,278 ",78679.00,97.3
Quabbin,7530000,"$11,108,224 ",78894.00,140.8
Quaboag Regional,7780000,"$6,964,490 ",72698.00,95.8
Quincy,2430000,"$63,659,452 ",86353.00,737.2
Ralph C Mahar,7550000,"$3,923,888 ",68123.00,57.6
Randolph,2440000,"$19,056,171 ",89718.00,212.4
Reading,2460000,"$26,347,309 ",83378.00,316
Revere,2480000,"$49,933,012 ",88991.00,561.1
Richmond,2490000,"$1,733,716 ",89830.00,19.3
Rising Tide Charter Public (District),4830000,"$3,700,080 ",62620.00,59.1
River Valley Charter (District),4820000,"$1,797,456 ",72742.00,24.7
Rochester,2500000,"$3,589,699 ",87341.00,41.1
Rockland,2510000,"$14,218,570 ",81156.00,175.2
Rockport,2520000,"$7,278,295 ",81595.00,89.2
Rowe,2530000,"$411,865 ",49622.00,8.3
Roxbury Preparatory Charter (District),4840000,"$8,424,296 ",70160.00,120.1
Sabis International Charter (District),4410000,"$5,660,304 ",67769.00,83.5
Salem,2580000,"$30,700,081 ",94870.00,323.6
Salem Academy Charter (District),4850000,"$3,033,550 ",69277.00,43.8
Sandwich,2610000,"$16,567,133 ",79231.00,209.1
Saugus,2620000,"$16,703,127 ",95830.00,174.3
Savoy,2630000,"$358,543 ",64026.00,5.6
Scituate,2640000,"$22,018,561 ",91325.00,241.1
Seekonk,2650000,"$14,204,209 ",85671.00,165.8
Sharon,2660000,"$24,638,495 ",100647.00,244.8
Shawsheen Valley Regional Vocational Technical,8710000,"$13,151,075 ",105546.00,124.6
Sherborn,2690000,"$3,162,320 ",94398.00,33.5
Shrewsbury,2710000,"$35,261,106 ",87977.00,400.8
Shutesbury,2720000,"$1,010,680 ",64787.00,15.6
Silver Lake,7600000,"$12,383,216 ",92689.00,133.6
Sizer School: A North Central Charter Essential (District),4740000,"$2,184,229 ",56491.00,38.7
Somerset,2730000,"$10,589,848 ",85333.00,124.1
Somerset Berkley Regional School District,7630000,"$5,674,650 ",73506.00,77.2
Somerville,2740000,"$41,000,926 ",96677.00,424.1
South Hadley,2780000,"$10,740,495 ",75637.00,142
South Middlesex Regional Vocational Technical,8290000,"$7,376,295 ",88764.00,83.1
South Shore Charter Public (District),4880000,"$7,708,339 ",77435.00,99.6
South Shore Regional Vocational Technical,8730000,"$5,334,143 ",88607.00,60.2
Southampton,2750000,"$3,027,961 ",78853.00,38.4
Southborough,2760000,"$10,642,165 ",99181.00,107.3
Southbridge,2770000,"$11,716,272 ",74721.00,156.8
Southeastern Regional Vocational Technical,8720000,"$11,678,054 ",89214.00,130.9
Southern Berkshire,7650000,"$5,425,657 ",73618.00,73.7
Southern Worcester County Regional Vocational Technical,8760000,"$9,480,713 ",86032.00,110.2
Southwick-Tolland-Granville Regional School District,7660000,"$8,781,874 ",70424.00,124.7
Spencer-E Brookfield,7670000,"$7,578,909 ",72595.00,104.4
Springfield,2810000,"$155,184,202 ",74014.00,"2,096.70"
Springfield Preparatory Charter School (District),35100000,"$1,964,820 ",64569.00,30.4
Stoneham,2840000,"$15,970,355 ",77040.00,207.3
Stoughton,2850000,"$26,550,116 ",88471.00,300.1
Sturbridge,2870000,"$5,849,179 ",81014.00,72.2
Sturgis Charter Public (District),4890000,"$6,830,263 ",75315.00,90.7
Sudbury,2880000,"$20,269,181 ",100892.00,200.9
Sunderland,2890000,"$1,484,090 ",64246.00,23.1
Sutton,2900000,"$8,232,189 ",88901.00,92.6
Swampscott,2910000,"$15,373,643 ",82788.00,185.7
Swansea,2920000,"$12,147,516 ",75077.00,161.8
Tantasqua,7700000,"$11,303,192 ",86087.00,131.3
Taunton,2930000,"$46,842,415 ",88182.00,531.2
Tewksbury,2950000,"$21,857,938 ",86532.00,252.6
Tisbury,2960000,"$3,936,700 ",98912.00,39.8
Topsfield,2980000,"$5,084,973 ",91292.00,55.7
Tri-County Regional Vocational Technical,8780000,"$8,289,758 ",93988.00,88.2
Triton,7730000,"$16,446,092 ",84556.00,194.5
Truro,3000000,"$1,354,326 ",95375.00,14.2
Tyngsborough,3010000,"$10,849,615 ",87356.00,124.2
UP Academy Charter School of Boston (District),4800000,"$2,744,897 ",89097.00,30.8
UP Academy Charter School of Dorchester (District),35050000,"$4,332,467 ",110522.00,39.2
Up-Island Regional,7740000,"$4,670,694 ",93414.00,50
Upper Cape Cod Regional Vocational Technical,8790000,"$6,101,750 ",77532.00,78.7
Uxbridge,3040000,"$10,650,705 ",78836.00,135.1
Veritas Preparatory Charter School (District),4980000,"$2,521,196 ",78787.00,32
Wachusett,7750000,"$38,556,190 ",85000.00,453.6
Wakefield,3050000,"$22,785,638 ",85789.00,265.6
Wales,3060000,"$800,219 ",84234.00,9.5
Walpole,3070000,"$23,997,894 ",84948.00,282.5
Waltham,3080000,"$47,079,599 ",93006.00,506.2
Ware,3090000,"$6,458,928 ",72900.00,88.6
Wareham,3100000,"$14,744,655 ",85725.00,172
Watertown,3140000,"$22,758,594 ",87668.00,259.6
Wayland,3150000,"$24,141,190 ",105651.00,228.5
Webster,3160000,"$10,343,136 ",77826.00,132.9
Wellesley,3170000,"$42,357,181 ",100778.00,420.3
Wellfleet,3180000,"$1,131,585 ",74446.00,15.2
West Boylston,3220000,"$6,872,489 ",79267.00,86.7
West Bridgewater,3230000,"$7,918,772 ",81135.00,97.6
West Springfield,3320000,"$24,365,256 ",75225.00,323.9
Westborough,3210000,"$27,186,397 ",80888.00,336.1
Westfield,3250000,"$31,064,387 ",75107.00,413.6
Westford,3260000,"$32,274,546 ",93549.00,345
Westhampton,3270000,"$910,673 ",58753.00,15.5
Weston,3300000,"$19,906,740 ",110901.00,179.5
Westport,3310000,"$9,584,069 ",81636.00,117.4
Westwood,3350000,"$24,115,421 ",99445.00,242.5
Weymouth,3360000,"$40,726,588 ",95490.00,426.5
Whately,3370000,"$827,853 ",65703.00,12.6
Whitman-Hanson,7800000,"$22,051,296 ",89567.00,246.2
Whittier Regional Vocational Technical,8850000,"$10,139,320 ",95654.00,106
Williamsburg,3400000,"$1,192,998 ",68959.00,17.3
Wilmington,3420000,"$23,437,337 ",87160.00,268.9
Winchendon,3430000,"$6,506,371 ",83522.00,77.9
Winchester,3440000,"$31,188,348 ",89442.00,348.7
Winthrop,3460000,"$11,547,972 ",76884.00,150.2
Woburn,3470000,"$32,234,181 ",89168.00,361.5
Worcester,3480000,"$171,799,156 ",93339.00,"1,840.60"
Worthington,3490000,"$322,221 ",43543.00,7.4
Wrentham,3500000,"$6,481,188 ",87348.00,74.2
State Totals,0,"$6,461,729,083 ",86118.00,"75,033.20"